,2018-12-31,2019-12-31,2020-12-31,2021-12-31,2022-12-31
symbol,TLSA,TLSA,TLSA,TLSA,TLSA
reportedCurrency,GBP,USD,USD,USD,USD
cik,0001723069,0001723069,0001723069,0001723069,0001723069
fillingDate,2019-04-04,2020-06-17,2021-05-17,2022-05-23,2023-04-26
acceptedDate,2019-04-04 06:07:32,2020-06-17 17:27:44,2021-05-17 17:13:47,2022-05-20 18:35:29,2023-04-26 14:36:10
calendarYear,2018,2019,2020,2021,2022
period,FY,FY,FY,FY,FY
netIncome,-9458430.616181,-10287407.562805,-30073456.260136,-26657000.0,-15397000.0
depreciationAndAmortization,15226.88052,259610.845964,96760.5653,141000.0,51000.0
deferredIncomeTax,2377931.1744990004,1291498.4003780019,-2278643.1715669986,-512000.0,0.0
stockBasedCompensation,801949.040707,1300676.561599,5124221.486297,5173000.0,-1410000.0
changeInWorkingCapital,1848797.076439,295012.324959,-312086.893713,-773000.0,-1164000.0
accountsReceivables,0,0,0,0,0
inventory,0,0,0,0,0
accountsPayables,0.0,0.0,-1031658.421576,-685000.0,-1008000.0
otherWorkingCapital,0.0,0.0,719571.527863,-88000.0,-156000.0
otherNonCashItems,83747.84285899997,158651.0725340005,14773021.519004999,866000.0,-1695000.0
netCashProvidedByOperatingActivities,-4330778.601157,-6981958.357371,-12670182.754814,-21762000.0,-19615000.0
investmentsInPropertyPlantAndEquipment,0.0,-3933.497666,-134919.661474,-22000.0,0.0
acquisitionsNet,0,0,0,0,0
purchasesOfInvestments,0,0,-120000,0,-3996000
salesMaturitiesOfInvestments,0,0,0,0,0
otherInvestingActivites,0,0,120000,152000,0
netCashUsedForInvestingActivites,-788.0800000005402,-3933.497666,-134919.661474,130000.0,-3996000.0
debtRepayment,0.0,0.0,-294370.170489,-152000.0,-55000.0
commonStockIssued,10873261.597807,1931347.354067,78066696.648814,0.0,0.0
commonStockRepurchased,0,0,0,0,0
dividendsPaid,0,0,0,0,0
otherFinancingActivites,-1318394.071667999,-205853.04452700005,535590.1713059992,129000.0,0.0
netCashUsedProvidedByFinancingActivities,9554867.526139,1725494.30954,78307916.649631,-23000.0,-55000.0
effectOfForexChangesOnCash,-249000,16000,1736000,-1983000,-398000
netChangeInCash,5224088.924982,-5260397.545498,65502814.233343,-23638000.0,-24064000.0
cashAtEndOfPeriod,5284996.447061,200608.380972,65711326.43744,42186000.0,18122000.0
cashAtBeginningOfPeriod,60907.522079,5461005.92647,208512.204097,65824000.0,42186000.0
operatingCashFlow,-4330778.601157,-6981958.357371,-12670182.754814,-21762000.0,-19615000.0
capitalExpenditure,0.0,-3933.497666,-134919.661474,-22000.0,0.0
freeCashFlow,-4330778.601157,-6985891.855037,-12805102.416288001,-21784000.0,-19615000.0
link,https://www.sec.gov/Archives/edgar/data/1723069/000121390019005736/0001213900-19-005736-index.htm,https://www.sec.gov/Archives/edgar/data/1723069/000121390020015211/0001213900-20-015211-index.htm,https://www.sec.gov/Archives/edgar/data/1723069/000121390021027177/0001213900-21-027177-index.htm,https://www.sec.gov/Archives/edgar/data/1723069/000121390022028645/0001213900-22-028645-index.htm,https://www.sec.gov/Archives/edgar/data/1723069/000121390023032763/0001213900-23-032763-index.htm
finalLink,https://www.sec.gov/Archives/edgar/data/1723069/000121390019005736/f20f2018_tizianalife.htm,https://www.sec.gov/Archives/edgar/data/1723069/000121390020015211/f20f2019_tizianalife.htm,https://www.sec.gov/Archives/edgar/data/1723069/000121390021027177/f20f2020_tizianalife.htm,https://www.sec.gov/Archives/edgar/data/1723069/000121390022028645/f20f2021_tizianalife.htm,https://www.sec.gov/Archives/edgar/data/1723069/000121390023032763/f20f2022_tizianalife.htm
startPeriod,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31
endPeriod,2018-12-31,2019-12-31,2020-12-31,2021-12-31,2022-12-31
high,2.43,2.08,12.17,5.29,1.38
low,1.13,0.67,0.62,0.85,0.53
average,1.62,1.32,2.47,2.23,0.79
